id,university,category,department,examDate,examTime,notification
24072300021,가천대,인문,AI인문대학,2025-11-24,,
24072300022,가천대,인문,경영학과,2025-11-24,,
24072300023,가천대,인문,경제학과,2025-11-24,,
24072300025,가천대,인문,관광경영학과,2025-11-24,,
24072300027,가천대,인문,미디어커뮤니케이션학과,2025-11-24,,
24072300028,가천대,인문,법과대학,2025-11-24,,
24072300030,가천대,인문,사회복지학과,2025-11-24,,
24072300031,가천대,인문,심리학과,2025-11-24,,
24072300034,가천대,인문,유아교육학과,2025-11-24,,
24072300035,가천대,인문,응용통계학과,2025-11-24,,
24072300036,가천대,인문,의료산업경영학과,2025-11-24,,
24072300037,가천대,인문,패션산업학과,2025-11-24,,
24072300040,가천대,인문,회계세무학과,2025-11-24,,
24072300042,가천대,자연,간호학과,2025-11-25,,
24072300043,가천대,자연,건축학부,2025-11-25,,
24072300044,가천대,자연,금융빅데이터학부,2025-11-25,,
24072300046,가천대,자연,기계공학부,2025-11-25,,
24072300048,가천대,자연,도시계획조경학부,2025-11-25,,
24072300049,가천대,자연,물리치료학과,2025-11-25,,
24072300050,가천대,자연,바이오나노학과,2025-11-25,,
24072300051,가천대,자연,바이오로직스학과,2025-11-25,,
24072300052,가천대,자연,반도체대학,2025-11-25,,
24072300053,가천대,자연,반도체물리학과,2025-11-25,,
24072300054,가천대,자연,방사선학과,2025-11-25,,
24072300057,가천대,자연,생명과학과,2025-11-25,,
24072300060,가천대,자연,스마트보안학과,2025-11-25,,
24072300061,가천대,자연,스마트시티학과,2025-11-25,,
24072300062,가천대,자연,스마트팩토리전공,2025-11-25,,
24072300063,가천대,자연,시스템반도체학과,2025-11-25,,
24072300064,가천대,자연,식품생명공학과,2025-11-25,,
24072300065,가천대,자연,식품영양학과,2025-11-25,,
24072300066,가천대,자연,신소재공학과,2025-11-25,,
24072300067,가천대,자연,운동재활학과,2025-11-25,,
24072300068,가천대,자연,응급구조학과,2025-11-25,,
24072300069,가천대,자연,의공학과,2025-11-25,,
24072300070,가천대,자연,의예과,2025-11-23,,
24072300071,가천대,자연,인공지능학과,2025-11-25,,
24072300072,가천대,자연,전기공학과,2025-11-25,,
24072300074,가천대,자연,치위생학과,2025-11-25,,
24072300075,가천대,자연,컴퓨터공학과,2025-11-25,,
24072300076,가천대,자연,클라우드공학과,2025-11-25,,
24072300077,가천대,자연,토목환경공학과,2025-11-25,,
24072300079,가천대,자연,화공생명배터리공학부,2025-11-25,,
24072300080,가천대,자연,화학과,2025-11-25,,
24072301073,가톨릭대,인문,경영학과,2025-9-28,14:30,
24072301074,가톨릭대,인문,경제학과,2025-9-28,14:30,
24072301075,가톨릭대,인문,국사학과,2025-9-28,14:30,
24072301076,가톨릭대,인문,국어국문학과,2025-9-28,14:30,
24072301077,가톨릭대,인문,국제학부,2025-9-28,14:30,
24072301078,가톨릭대,인문,법학과,2025-9-28,14:30,
24072301079,가톨릭대,인문,사회복지학과,2025-9-28,14:30,
24072301080,가톨릭대,인문,사회학과,2025-9-28,14:30,
24072301081,가톨릭대,인문,심리학과,2025-9-28,14:30,
24072301082,가톨릭대,인문,영어영문학부,2025-9-28,14:30,
24072301083,가톨릭대,인문,인문사회계열,2025-9-28,14:30,
24072301084,가톨릭대,인문,일어일본문화학과,2025-9-28,14:30,
24072301085,가톨릭대,인문,중국언어문화학과,2025-9-28,14:30,
24072301086,가톨릭대,인문,철학과,2025-9-28,14:30,
24072301089,가톨릭대,인문,행정학과,2025-9-28,14:30,
24072301090,가톨릭대,인문,회계학과,2025-9-28,14:30,
24072301091,가톨릭대,자연,간호학과,2025-9-28,9:30,
24072301092,가톨릭대,자연,공간디자인소비자학과,2025-9-28,9:30,
24072301093,가톨릭대,자연,데이터사이언스학과,2025-9-28,9:30,
24072301094,가톨릭대,자연,물리학과,2025-9-28,9:30,
24072301095,가톨릭대,자연,미디어기술콘텐츠학과,2025-9-28,9:30,
24072301096,가톨릭대,자연,바이오메디컬소프트웨어학과,2025-9-28,9:30,
24072301097,가톨릭대,자연,바이오메디컬화학공학과,2025-9-28,9:30,
24072301098,가톨릭대,자연,생명공학과,2025-9-28,9:30,
24072301099,가톨릭대,자연,수학과,2025-9-28,9:30,
24072301100,가톨릭대,자연,식품영양학과,2025-9-28,9:30,
24072301101,가톨릭대,자연,아동학과,2025-9-28,9:30,
24072301102,가톨릭대,자연,약학과,2025-11-16,9:30,
24072301103,가톨릭대,자연,에너지환경공학과,2025-9-28,9:30,
24072301104,가톨릭대,자연,의류학과,2025-9-28,9:30,
24072301105,가톨릭대,자연,의생명과학과,2025-9-28,9:30,
24072301106,가톨릭대,자연,의예과,2025-11-16,9:30,
24072301107,가톨릭대,자연,인공지능학과,2025-9-28,9:30,
24072301108,가톨릭대,자연,자연공학계열,2025-9-28,9:30,
24072301110,가톨릭대,자연,정보통신전자공학부,2025-9-28,9:30,
24072301111,가톨릭대,자연,컴퓨터정보공학부,2025-9-28,9:30,
24072301112,가톨릭대,자연,화학과,2025-9-28,9:30,
24072302727,건국대,인문,경영학과,2025-11-15,9:20,
24072302728,건국대,인문,경제학과,2025-11-15,9:20,
24072302729,건국대,인문,국어국문학과,2025-11-15,9:20,
24072302730,건국대,인문,국제무역학과,2025-11-15,9:20,
24072302732,건국대,인문,기술경영학과,2025-11-15,9:20,
24072302733,건국대,인문,문과대학자유전공학부,2025-11-15,9:20,
24072302734,건국대,인문,문화콘텐츠학과,2025-11-15,9:20,
24072302735,건국대,인문,미디어커뮤니케이션학과,2025-11-15,9:20,
24072302736,건국대,인문,부동산학과,2025-11-15,9:20,
24072302737,건국대,인문,사학과,2025-11-15,9:20,
24072302738,건국대,인문,사회과학대학융합전공학부,2025-11-15,9:20,
24072302739,건국대,인문,영어영문학과,2025-11-15,9:20,
24072302741,건국대,인문,응용통계학과,2025-11-15,9:20,
24072302742,건국대,인문,정치외교학과,2025-11-15,9:20,
24072302743,건국대,인문,중어중문학과,2025-11-15,9:20,
24072302744,건국대,인문,지리학과,2025-11-15,9:20,
24072302745,건국대,인문,철학과,2025-11-15,9:20,
24072302746,건국대,인문,행정학과,2025-11-15,9:20,
24072302747,건국대,자연,KU자유전공학부,2025-11-15,14:00,
24072302748,건국대,자연,건축학부,2025-11-15,14:00,
24072302749,건국대,자연,공과대학자유전공학부,2025-11-15,14:00,
24072302750,건국대,자연,기계로봇자동차공학부,2025-11-15,14:00,
24072302752,건국대,자연,동물자원식품과학유통학부,2025-11-15,14:00,
24072302753,건국대,자연,물리학과,2025-11-15,14:00,
24072302755,건국대,자연,사회환경공학부,2025-11-15,14:00,
24072302757,건국대,자연,산업공학과,2025-11-15,14:00,
24072302758,건국대,자연,생명과학대학자유전공학부,2025-11-15,14:00,
24072302759,건국대,자연,생명과학특성학과,2025-11-15,14:00,
24072302760,건국대,자연,생물공학과,2025-11-15,14:00,
24072302761,건국대,자연,수의예과,2025-11-15,14:00,
24072302762,건국대,자연,수학과,2025-11-15,14:00,
24072302763,건국대,자연,수학교육과,2025-11-15,14:00,
24072302766,건국대,자연,시스템생명공학과,2025-11-15,14:00,
24072302767,건국대,자연,식량자원과학과,2025-11-15,14:00,
24072302769,건국대,자연,융합과학기술원자유전공학부,2025-11-15,14:00,
24072302770,건국대,자연,융합생명공학과,2025-11-15,14:00,
24072302772,건국대,자연,이과대학자유전공학부,2025-11-15,14:00,
24072302773,건국대,자연,재료공학과,2025-11-15,14:00,
24072302774,건국대,자연,전기전자공학부,2025-11-15,14:00,
24072302775,건국대,자연,첨단바이오공학부,2025-11-15,14:00,
24072302777,건국대,자연,컴퓨터공학부,2025-11-15,14:00,
24072302778,건국대,자연,항공우주모빌리티공학과,2025-11-15,14:00,
24072302779,건국대,자연,화공학부,2025-11-15,14:00,
24072302781,건국대,자연,화학과,2025-11-15,14:00,
24072302782,건국대,자연,환경보건산림조경학부,2025-11-15,14:00,
24072303917,경기대,인문,자유전공학부(서울)-언어사회,2025-11-21,,
24072303918,경기대,인문,자유전공학부(수원)-언어사회,2025-11-21,,
24072303921,경기대,자연,자유전공학부(서울)-수리,2025-11-21,,
24072303922,경기대,자연,자유전공학부(수원)-수리,2025-11-21,,
24072304655,경북대,공통,자율전공학부,2025-11-22,,인문계열 9:00 / 자연계열1 15:00 / 자연계열2 16:00
24072304656,경북대,인문,경상대학자율학부,2025-11-22,9:30,
24072304657,경북대,인문,경영학부,2025-11-22,9:30,
24072304658,경북대,인문,경제통상학부,2025-11-22,9:30,
24072304659,경북대,인문,고고인류학과,2025-11-22,9:30,
24072304661,경북대,인문,국어국문학과,2025-11-22,9:30,
24072304662,경북대,인문,노어노문학과,2025-11-22,9:30,
24072304663,경북대,인문,독어독문학과,2025-11-22,9:30,
24072304664,경북대,인문,문헌정보학과,2025-11-22,9:30,
24072304665,경북대,인문,미디어커뮤니케이션학과,2025-11-22,9:30,
24072304666,경북대,인문,불어불문학과,2025-11-22,9:30,
24072304667,경북대,인문,사학과,2025-11-22,9:30,
24072304668,경북대,인문,사회과학대학자율학부,2025-11-22,9:30,
24072304669,경북대,인문,사회복지학부,2025-11-22,9:30,
24072304670,경북대,인문,사회학과,2025-11-22,9:30,
24072304671,경북대,인문,심리학과,2025-11-22,9:30,
24072304672,경북대,인문,영어영문학과,2025-11-22,9:30,
24072304673,경북대,인문,인문대학자율학부,2025-11-22,9:30,
24072304674,경북대,인문,일어일문학과,2025-11-22,9:30,
24072304675,경북대,인문,정치외교학과,2025-11-22,9:30,
24072304676,경북대,인문,중어중문학과,2025-11-22,9:30,
24072304677,경북대,인문,지리학과,2025-11-22,9:30,
24072304678,경북대,인문,철학과,2025-11-22,9:30,
24072304680,경북대,인문,행정학부,2025-11-22,9:30,
24072304681,경북대,자연,IT대학자율학부,2025-11-22,15:30,
24072304682,경북대,자연,IT대학첨단자율학부,2025-11-22,15:30,
24072304683,경북대,자연,간호학과,2025-11-22,15:30,
24072304684,경북대,자연,건축학부-건축공학,2025-11-22,15:30,
24072304685,경북대,자연,건축학부-건축학,2025-11-22,15:30,
24072304686,경북대,자연,고분자공학과,2025-11-22,15:30,
24072304687,경북대,자연,공과대학자율학부,2025-11-22,15:30,
24072304688,경북대,자연,공학첨단자율학부,2025-11-22,15:30,
24072304689,경북대,자연,금속재료공학과,2025-11-22,15:30,
24072304690,경북대,자연,기계공학부,2025-11-22,15:30,
24072304691,경북대,자연,물리학과,2025-11-22,15:30,
24072304692,경북대,자연,섬유시스템공학과,2025-11-22,15:30,
24072304693,경북대,자연II,수의예과,2025-11-22,16:30,
24072304694,경북대,자연,수학과,2025-11-22,15:30,
24072304695,경북대,자연,수학교육과,2025-11-22,15:30,
24072304696,경북대,자연,신소재공학과,2025-11-22,15:30,
24072304697,경북대,자연,에너지공학부,2025-11-22,15:30,
24072304699,경북대,자연,응용화학과,2025-11-22,15:30,
24072304700,경북대,자연II,의예과,2025-11-22,16:30,
24072304701,경북대,자연,자연과학대학자율학부,2025-11-22,15:30,
24072304702,경북대,자연,전기공학과,2025-11-22,15:30,
24072304703,경북대,자연,전자공학부,2025-11-22,15:30,
24072304704,경북대,자연,전자공학부-모바일공학,2025-11-22,15:30,
24072304705,경북대,자연,전자공학부-인공지능,2025-11-22,15:30,
24072304706,경북대,자연,지구시스템과학부,2025-11-22,15:30,
24072304707,경북대,자연,첨단기술융합대학자율학부1,2025-11-22,15:30,
24072304708,경북대,자연,첨단기술융합대학자율학부2,2025-11-22,15:30,
24072304709,경북대,자연II,치의예과,2025-11-22,16:30,
24072304710,경북대,자연,컴퓨터학부-글로벌소프트웨어융합,2025-11-22,15:30,
24072304711,경북대,자연,컴퓨터학부-인공지능컴퓨팅,2025-11-22,15:30,
24072304712,경북대,자연,컴퓨터학부-플랫폼소프트웨어/데이터과학,2025-11-22,15:30,
24072304713,경북대,자연,토목공학과,2025-11-22,15:30,
24072304714,경북대,자연,통계학과,2025-11-22,15:30,
24072304715,경북대,자연,화학공학과,2025-11-22,15:30,
24072304716,경북대,자연,화학과,2025-11-22,15:30,
24072304717,경북대,자연,환경공학과,2025-11-22,15:30,
24072306969,경희대,공통,자율전공학부,2025-11-16,15:00,
24072306974,경희대,인문,Hospitality경영학과,2025-11-16,15:00,
24072306977,경희대,인문,경영학과,2025-11-16,15:00,
24072306978,경희대,인문,경제학과,2025-11-16,15:00,
24072306979,경희대,인문,관광엔터테인먼트학부,2025-11-16,15:00,
24072306980,경희대,인문,국어국문학과,2025-11-15,9:00,
24072306981,경희대,인문,글로벌커뮤니케이션학부,2025-11-15,9:00,
24072306982,경희대,인문,러시아어학과,2025-11-15,9:00,
24072306983,경희대,인문,무역학과,2025-11-16,15:00,
24072306984,경희대,인문,미디어학과,2025-11-16,15:00,
24072306985,경희대,인문,빅데이터응용학과,2025-11-16,15:00,
24072306986,경희대,인문,사학과,2025-11-15,9:00,
24072306987,경희대,인문,사회학과,2025-11-16,15:00,
24072306988,경희대,인문,스페인어학과,2025-11-15,9:00,
24072306989,경희대,인문,아동가족학과,2025-11-15,9:00,
24072306990,경희대,인문,영어영문학과,2025-11-15,9:00,
24072306991,경희대,인문,응용영어통번역학과,2025-11-15,9:00,
24072306992,경희대,인문,의상학과,2025-11-15,9:00,
24072306993,경희대,인문,일본어학과,2025-11-15,9:00,
24072306994,경희대,인문,정치외교학과,2025-11-16,15:00,
24072306995,경희대,인문,조리&푸드디자인학과,2025-11-16,15:00,
24072306996,경희대,인문,주거환경학과,2025-11-15,9:00,
24072306997,경희대,인문,중국어학과,2025-11-15,9:00,
24072306998,경희대,인문,지리학과(인문),2025-11-16,15:00,
24072306999,경희대,인문,철학과,2025-11-15,9:00,
24072307000,경희대,인문,프랑스어학과,2025-11-15,9:00,
24072307001,경희대,인문,한국어학과,2025-11-15,9:00,
24072307002,경희대,인문,한의예과(인문),2025-11-16,15:00,
24072307003,경희대,인문,행정학과,2025-11-16,15:00,
24072307004,경희대,인문,회계세무학과,2025-11-16,15:00,
24072307005,경희대,자연,간호학과,2025-11-16,9:00,
24072307006,경희대,자연,건축공학과,2025-11-16,9:00,
24072307007,경희대,자연,건축학과,2025-11-16,9:00,
24072307008,경희대,자연,기계공학과,2025-11-16,9:00,
24072307009,경희대,자연,물리학과,2025-11-16,9:00,
24072307010,경희대,자연,미래정보디스플레이학부,2025-11-16,9:00,
24072307011,경희대,자연,사회기반시스템공학과,2025-11-16,9:00,
24072307012,경희대,자연,산업경영공학과,2025-11-16,9:00,
24072307013,경희대,자연,생물학과,2025-11-16,9:00,
24072307014,경희대,자연,생체의공학과,2025-11-16,9:00,
24072307015,경희대,자연,소프트웨어융합학과,2025-11-16,9:00,
24072307016,경희대,자연,수학과,2025-11-16,9:00,
24072307017,경희대,자연,스마트팜과학과,2025-11-16,9:00,
24072307019,경희대,자연,식품생명공학과,2025-11-16,9:00,
24072307020,경희대,자연,식품영양학과,2025-11-16,9:00,
24072307021,경희대,자연,신소재공학과,2025-11-16,9:00,
24072307022,경희대,자연,약과학과,2025-11-16,9:00,
24072307023,경희대,자연,약학과,2025-11-15,15:00,
24072307024,경희대,자연,우주과학과,2025-11-16,9:00,
24072307025,경희대,자연,원자력공학과,2025-11-16,9:00,
24072307026,경희대,자연,유전생명공학과,2025-11-16,9:00,
24072307027,경희대,자연,융합바이오신소재공학과,2025-11-16,9:00,
24072307028,경희대,자연,응용물리학과,2025-11-16,9:00,
24072307029,경희대,자연,응용수학과,2025-11-16,9:00,
24072307030,경희대,자연,응용화학과,2025-11-16,9:00,
24072307031,경희대,자연,의예과,2025-11-15,15:00,
24072307032,경희대,자연,전자정보공학부-반도체공학과,2025-11-16,9:00,
24072307033,경희대,자연,전자정보공학부-전자공학과,2025-11-16,9:00,
24072307034,경희대,자연,지리학과(자연),2025-11-16,9:00,
24072307035,경희대,자연,치의예과,2025-11-15,15:00,
24072307036,경희대,자연,컴퓨터공학부-인공지능학과,2025-11-16,9:00,
24072307037,경희대,자연,컴퓨터공학부-컴퓨터공학과,2025-11-16,9:00,
24072307039,경희대,자연,한약학과,2025-11-16,9:00,
24072307040,경희대,자연,한의예과(자연),2025-11-15,15:00,
24072307041,경희대,자연,화학공학과,2025-11-16,9:00,
24072307042,경희대,자연,화학과,2025-11-16,9:00,
24072307043,경희대,자연,환경학및환경공학과,2025-11-16,9:00,
24072308077,고려대,인문,경영대학,2025-11-16,8:30,
24072308078,고려대,인문,경제학과,2025-11-16,12:30,
24072308079,고려대,인문,교육학과,2025-11-16,12:30,
24072308080,고려대,인문,국어교육과,2025-11-16,12:30,
24072308081,고려대,인문,국어국문학과,2025-11-16,8:30,
24072308082,고려대,인문,국제학부,2025-11-16,8:30,
24072308083,고려대,인문,노어노문학과,2025-11-16,8:30,
24072308084,고려대,인문,독어독문학과,2025-11-16,8:30,
24072308085,고려대,인문,미디어학부,2025-11-16,12:30,
24072308086,고려대,인문,보건정책관리학부,2025-11-16,12:30,
24072308087,고려대,인문,불어불문학과,2025-11-16,8:30,
24072308088,고려대,인문,사학과,2025-11-16,8:30,
24072308089,고려대,인문,사회학과,2025-11-16,8:30,
24072308090,고려대,인문,서어서문학과,2025-11-16,8:30,
24072308091,고려대,인문,식품자원경제학과,2025-11-16,8:30,
24072308092,고려대,인문,심리학부,2025-11-16,12:30,
24072308093,고려대,인문,언어학과,2025-11-16,8:30,
24072308094,고려대,인문,역사교육과,2025-11-16,12:30,
24072308095,고려대,인문,영어교육과,2025-11-16,12:30,
24072308096,고려대,인문,영어영문학과,2025-11-16,8:30,
24072308097,고려대,인문,일어일문학과,2025-11-16,8:30,
24072308098,고려대,인문,자유전공학부,2025-11-16,12:30,
24072308099,고려대,인문,정치외교학과,2025-11-16,12:30,
24072308100,고려대,인문,중어중문학과,2025-11-16,8:30,
24072308101,고려대,인문,지리교육과,2025-11-16,12:30,
24072308102,고려대,인문,철학과,2025-11-16,8:30,
24072308103,고려대,인문,통계학과,2025-11-16,12:30,
24072308104,고려대,인문,한국사학과,2025-11-16,8:30,
24072308105,고려대,인문,한문학과,2025-11-16,8:30,
24072308106,고려대,인문,행정학과,2025-11-16,12:30,
24072308107,고려대,자연,가정교육과,2025-11-15,12:30,
24072308108,고려대,자연,간호대학,2025-11-15,12:30,
24072308109,고려대,자연,건축사회환경공학부,2025-11-15,12:30,
24072308110,고려대,자연,건축학과,2025-11-15,12:30,
24072308111,고려대,자연,기계공학부,2025-11-15,12:30,
24072308112,고려대,자연,데이터과학과,2025-11-15,8:30,
24072308113,고려대,자연,물리학과,2025-11-15,8:30,
24072308114,고려대,자연,바이오시스템의과학부,2025-11-15,8:30,
24072308115,고려대,자연,바이오의공학부,2025-11-15,8:30,
24072308116,고려대,자연,보건환경융합과학부,2025-11-15,8:30,
24072308117,고려대,자연,산업경영공학부,2025-11-15,12:30,
24072308118,고려대,자연,생명공학부,2025-11-15,8:30,
24072308119,고려대,자연,생명과학부,2025-11-15,8:30,
24072308120,고려대,자연,수학과,2025-11-15,8:30,
24072308121,고려대,자연,수학교육과,2025-11-15,12:30,
24072308122,고려대,자연,스마트보안학부,2025-11-15,8:30,
24072308123,고려대,자연,식품공학과,2025-11-15,8:30,
24072308124,고려대,자연,신소재공학부,2025-11-15,12:30,
24072308125,고려대,자연,융합에너지공학과,2025-11-15,12:30,
24072308126,고려대,자연,인공지능학과,2025-11-15,8:30,
24072308127,고려대,자연,전기전자공학부,2025-11-15,12:30,
24072308128,고려대,자연,지구환경과학과,2025-11-15,8:30,
24072308129,고려대,자연,컴퓨터학과,2025-11-15,8:30,
24072308130,고려대,자연,화공생명공학과,2025-11-15,12:30,
24072308131,고려대,자연,화학과,2025-11-15,8:30,
24072308132,고려대,자연,환경생태공학부,2025-11-15,8:30,
24072308499,고려대(세종),인문,경제통계학부-경제정책학,2025-11-22,9:40,
24072308500,고려대(세종),인문,공공사회통일외교학부,2025-11-22,9:40,
24072308502,고려대(세종),인문,글로벌학부,2025-11-22,9:40,
24072308506,고려대(세종),인문,문화유산융합학부,2025-11-22,9:40,
24072308507,고려대(세종),인문,문화창의학부,2025-11-22,9:40,
24072308509,고려대(세종),인문,융합경영학부,2025-11-22,9:40,
24072308511,고려대(세종),인문,정부행정학부,2025-11-22,9:40,
24072308512,고려대(세종),인문,표준지식학과,2025-11-22,9:40,
24072308513,고려대(세종),자연,디지털헬스케어공학과,2025-11-22,9:40,
24072308514,고려대(세종),자연,미래모빌리티학과,2025-11-22,9:40,
24072308515,고려대(세종),자연,반도체물리학부,2025-11-22,9:40,
24072308516,고려대(세종),자연,빅데이터사이언스학부,2025-11-22,9:40,
24072308517,고려대(세종),자연,생명정보공학과,2025-11-22,9:40,
24072308518,고려대(세종),자연,스마트도시학부,2025-11-22,9:40,
24072308519,고려대(세종),자연,식품생명공학과,2025-11-22,9:40,
